,pat_id,asd,dice,hd,jc,vol_gt,vol_pred,dice_mean,dice_std,hd_mean,hd_std,Pearson correlation coefficient between vol_gt and vol_pred
0,Doubt_01-029_3.nii.gz,0.402061856,0.718120805,1.414213562,0.560209424,0.015324402,0.012185669,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
1,Doubt_06-017_3.nii.gz,0.607431188,0.698710434,1.414213562,0.536936937,0.044336732,0.043410907,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
2,Escape-01-005_3.nii.gz,0.610271312,0.762411348,1.414213562,0.616045845,0.028882296,0.042251393,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
3,Escape-01-026_3.nii.gz,0.765792156,0.70984456,2.236067977,0.550200803,0.019675276,0.029008419,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
4,Escape-01-028_3.nii.gz,0.355670103,0.779319042,1.414213562,0.638429752,0.059404198,0.040611787,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
5,Escape-01-055_3.nii.gz,0.331038305,0.809917355,1,0.680555556,0.039098304,0.037206451,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
6,Escape-03-012_3.nii.gz,0.42712964,0.620289855,2.236067977,0.449579832,0.037944794,0.026542664,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
7,Escape-06-002_4.nii.gz,0.758484245,0.296747967,8.740664487,0.174224344,0.110616403,0.02434521,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
8,Escape-08-030_3.nii.gz,0.509792139,0.750386001,2.236067977,0.600494234,0.080592302,0.055573648,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
9,Escape-08-033_4.nii.gz,0.402494484,0.794117647,1.414213562,0.658536585,0.026259441,0.025605679,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
10,Escapena1_01-016+_4.nii.gz,0.883901746,0.502805836,3.449353933,0.335832084,0.076178632,0.036197462,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
11,Escapena1_01-082+_3.nii.gz,0.352738448,0.742056075,2.449489743,0.589895988,0.079331721,0.055620491,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
12,Escapena1_02-012+_3.nii.gz,0.6687179,0.565815324,2.828427125,0.394520548,0.038929735,0.03234809,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
13,Escapena1_02-018_3.nii.gz,1.08126454,0.609699769,3,0.438538206,0.02036598,0.037650266,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
